127.0.0.1 - - [28/Apr/2022:21:43:00 +0300] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:43:01 +0300] "GET /AsiakasListaus/listaaasiakkaat.jsp HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:43:01 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:43:01 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:43:01 +0300] "GET /AsiakasListaus/asiakkaat/ HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:45:19 +0300] "GET /AsiakasListaus/listaaasiakkaat.jsp HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:45:19 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:45:19 +0300] "GET /AsiakasListaus/asiakkaat/ HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:46:02 +0300] "GET /AsiakasListaus/listaaasiakkaat.jsp HTTP/1.1" 200 2062
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:46:02 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:46:02 +0300] "GET /AsiakasListaus/asiakkaat/ HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:46:52 +0300] "GET /AsiakasListaus/listaaasiakkaat.jsp HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:46:52 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:46:52 +0300] "GET /AsiakasListaus/asiakkaat/ HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:47:03 +0300] "GET /AsiakasListaus/lisaaasiakas.jsp HTTP/1.1" 200 2705
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:47:03 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:47:03 +0300] "GET /AsiakasListaus/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:47:08 +0300] "GET /AsiakasListaus/listaaasiakkaat.jsp HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:47:08 +0300] "GET /AsiakasListaus/asiakkaat/ HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:47:11 +0300] "GET /AsiakasListaus/lisaaasiakas.jsp HTTP/1.1" 200 2705
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:47:13 +0300] "GET /AsiakasListaus/listaaasiakkaat.jsp HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:47:13 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:47:13 +0300] "GET /AsiakasListaus/asiakkaat/ HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:48:49 +0300] "GET /AsiakasListaus/listaaasiakkaat.jsp HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:48:49 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:48:49 +0300] "GET /AsiakasListaus/asiakkaat/ HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:48:52 +0300] "GET /AsiakasListaus/lisaaasiakas.jsp HTTP/1.1" 200 2705
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:48:52 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:48:55 +0300] "GET /AsiakasListaus/listaaasiakkaat.jsp HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:48:55 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:48:55 +0300] "GET /AsiakasListaus/asiakkaat/ HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:51:27 +0300] "GET /AsiakasListaus/listaaasiakkaat.jsp HTTP/1.1" 200 2072
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:51:27 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:51:27 +0300] "GET /AsiakasListaus/asiakkaat/ HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:52:15 +0300] "GET /AsiakasListaus/listaaasiakkaat.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:52:15 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:52:15 +0300] "GET /AsiakasListaus/asiakkaat/ HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:53:56 +0300] "GET /AsiakasListaus/lisaaasiakas.jsp HTTP/1.1" 200 2705
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:53:56 +0300] "GET /AsiakasListaus/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:53:58 +0300] "GET /AsiakasListaus/listaaasiakkaat.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [28/Apr/2022:21:53:58 +0300] "GET /AsiakasListaus/asiakkaat/ HTTP/1.1" 200 430
